         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51646    0.014    0.000    0.023    0.000 {built-in method builtins.isinstance}
    37915    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
    20650    0.006    0.000    0.008    0.000 generic.py:30(_check)
19151/17001    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    14300    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
5803/5703    0.008    0.000    0.008    0.000 {built-in method numpy.array}
     4500    0.003    0.000    0.012    0.000 base.py:254(is_dtype)
4052/3552    0.004    0.000    0.026    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3950    0.003    0.000    0.006    0.000 common.py:1610(_is_dtype_type)
     3359    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     3050    0.002    0.000    0.003    0.000 base.py:411(find)
     3050    0.003    0.000    0.007    0.000 common.py:1470(is_extension_array_dtype)
     3000    0.001    0.000    0.001    0.000 shape_base.py:1241(<genexpr>)
     2808    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2601    0.001    0.000    0.002    0.000 threading.py:246(__enter__)
     2601    0.001    0.000    0.002    0.000 threading.py:249(__exit__)
     2505    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     2500    0.001    0.000    0.001    0.000 common.py:187(<lambda>)
     2500    0.001    0.000    0.001    0.000 common.py:185(classes)
2250/2150    0.001    0.000    0.005    0.000 _asarray.py:16(asarray)
     1905   17.434    0.009   17.434    0.009 {method 'acquire' of '_thread.lock' objects}
     1800    0.000    0.000    0.000    0.000 shape_base.py:1251(<genexpr>)
     1700    0.001    0.000    0.002    0.000 {built-in method builtins.all}
     1700    0.002    0.000    0.002    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     1601    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
     1601    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1600    0.001    0.000    0.005    0.000 common.py:201(is_object_dtype)
     1550    0.001    0.000    0.006    0.000 common.py:463(is_period_dtype)
     1550    0.001    0.000    0.006    0.000 common.py:499(is_interval_dtype)
     1550    0.001    0.000    0.005    0.000 common.py:537(is_categorical_dtype)
     1501    0.001    0.000    0.001    0.000 threading.py:261(_is_owned)
     1500    0.002    0.000    0.003    0.000 threading.py:341(notify)
     1500    0.000    0.000    0.000    0.000 parallel.py:265(__len__)
     1450    0.000    0.000    0.001    0.000 common.py:195(<lambda>)
     1450    0.000    0.000    0.000    0.000 common.py:190(classes_and_not_datetimelike)
     1350    0.001    0.000    0.001    0.000 common.py:1769(pandas_dtype)
     1300    0.001    0.000    0.005    0.000 dtypes.py:923(is_dtype)
     1300    0.001    0.000    0.005    0.000 dtypes.py:1132(is_dtype)
     1254    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
     1201    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     1200    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1200    0.000    0.000    0.000    0.000 shape_base.py:1165(_tile_dispatcher)
     1200    0.005    0.000    0.010    0.000 shape_base.py:1169(tile)
     1200    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(tile)
     1200    0.000    0.000    0.001    0.000 managers.py:208(<genexpr>)
     1150    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1150    0.001    0.000    0.008    0.000 fromnumeric.py:55(_wrapfunc)
     1150    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
