         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1905   17.434    0.009   17.434    0.009 {method 'acquire' of '_thread.lock' objects}
       13    0.020    0.002    0.021    0.002 {built-in method posix.fork}
      300    0.018    0.000    0.021    0.000 {pandas._libs.lib.maybe_convert_objects}
    51646    0.014    0.000    0.023    0.000 {built-in method builtins.isinstance}
  500/250    0.008    0.000    0.042    0.000 base.py:250(__new__)
5803/5703    0.008    0.000    0.008    0.000 {built-in method numpy.array}
       12    0.006    0.001    0.061    0.005 popen_loky_posix.py:122(_launch)
    37915    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
    20650    0.006    0.000    0.008    0.000 generic.py:30(_check)
       24    0.005    0.000    0.015    0.001 {function CloudPickler.dump at 0x121650310}
      270    0.005    0.000    0.005    0.000 {built-in method posix.stat}
19151/17001    0.005    0.000    0.006    0.000 {built-in method builtins.len}
      550    0.005    0.000    0.127    0.000 parallel.py:784(dispatch_one_batch)
     1200    0.005    0.000    0.010    0.000 shape_base.py:1169(tile)
4052/3552    0.004    0.000    0.026    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  800/100    0.004    0.000    0.025    0.000 ktom_functions.py:687(init_k_tom)
      700    0.004    0.000    0.012    0.000 cast.py:1379(maybe_cast_to_datetime)
      150    0.003    0.000    0.004    0.000 {built-in method builtins.eval}
     3950    0.003    0.000    0.006    0.000 common.py:1610(_is_dtype_type)
      770    0.003    0.000    0.003    0.000 {built-in method posix.write}
      655    0.003    0.000    0.003    0.000 threading.py:222(__init__)
      500    0.003    0.000    0.101    0.000 process_executor.py:1099(submit)
     3050    0.003    0.000    0.007    0.000 common.py:1470(is_extension_array_dtype)
     4500    0.003    0.000    0.012    0.000 base.py:254(is_dtype)
       50    0.003    0.000   17.440    0.349 parallel.py:906(retrieve)
     3050    0.002    0.000    0.003    0.000 base.py:411(find)
      500    0.002    0.000    0.014    0.000 blocks.py:2662(get_block_type)
     1100    0.002    0.000    0.006    0.000 fromnumeric.py:42(_wrapit)
     1700    0.002    0.000    0.002    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     1000    0.002    0.000    0.006    0.000 queue.py:121(put)
      250    0.002    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
    14300    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      994    0.002    0.000    0.004    0.000 os.py:670(__getitem__)
       50    0.002    0.000   17.600    0.352 parallel.py:946(__call__)
      900    0.002    0.000    0.005    0.000 _dtype.py:333(_name_get)
     3359    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      800    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      825    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      500    0.002    0.000    0.109    0.000 parallel.py:747(_dispatch)
      500    0.002    0.000   17.436    0.035 _base.py:412(result)
     1500    0.002    0.000    0.003    0.000 threading.py:341(notify)
       50    0.002    0.000    0.002    0.000 {pandas._libs.lib.to_object_array_tuples}
      100    0.002    0.000    0.005    0.000 index_tricks.py:318(__getitem__)
      100    0.002    0.000    0.053    0.001 managers.py:1176(insert)
      150    0.002    0.000    0.088    0.001 frame.py:502(__init__)
        1    0.002    0.002    0.078    0.078 process_executor.py:1072(_adjust_process_count)
      100    0.002    0.000    0.005    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
       50    0.002    0.000    0.016    0.000 managers.py:1733(_form_blocks)
      300    0.002    0.000    0.018    0.000 construction.py:423(sanitize_array)
      500    0.002    0.000    0.106    0.000 _parallel_backends.py:529(apply_async)
      600    0.002    0.000    0.004    0.000 queue.py:153(get)
      500    0.002    0.000    0.006    0.000 connection.py:181(send_bytes)
       18    0.001    0.000    0.007    0.000 synchronize.py:63(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
       50    0.001    0.000   17.707    0.354 agent.py:1036(compete)
     1300    0.001    0.000    0.005    0.000 dtypes.py:1132(is_dtype)
     1600    0.001    0.000    0.005    0.000 common.py:201(is_object_dtype)
     1150    0.001    0.000    0.008    0.000 fromnumeric.py:55(_wrapfunc)
       13    0.001    0.000    0.001    0.000 {built-in method io.open}
       50    0.001    0.000    0.002    0.000 concat.py:92(_get_mgr_concatenation_plan)
      700    0.001    0.000    0.001    0.000 _internal.py:830(npy_ctypes_check)
       12    0.001    0.000    0.063    0.005 popen_loky_posix.py:47(__init__)
      100    0.001    0.000    0.027    0.000 agent.py:420(__init__)
      201    0.001    0.000   17.436    0.087 threading.py:270(wait)
     2601    0.001    0.000    0.002    0.000 threading.py:246(__enter__)
       12    0.001    0.000    0.007    0.001 spawn.py:53(get_preparation_data)
      500    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
      300    0.001    0.000    0.002    0.000 base.py:4230(__contains__)
      396    0.001    0.000    0.006    0.000 cloudpickle_fast.py:443(reducer_override)
     1300    0.001    0.000    0.005    0.000 dtypes.py:923(is_dtype)
      500    0.001    0.000    0.085    0.000 process_executor.py:1091(_ensure_executor_running)
     2601    0.001    0.000    0.002    0.000 threading.py:249(__exit__)
      500    0.001    0.000    0.004    0.000 _base.py:316(__init__)
       50    0.001    0.000    0.022    0.000 concat.py:306(__init__)
      500    0.001    0.000    0.005    0.000 common.py:198(asarray_tuplesafe)
       50    0.001    0.000    0.002    0.000 {pandas._libs.lib.clean_index_list}
      500    0.001    0.000    0.102    0.000 reusable_executor.py:175(submit)
       12    0.001    0.000    0.002    0.000 process.py:80(__init__)
     1550    0.001    0.000    0.005    0.000 common.py:537(is_categorical_dtype)
      662    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      300    0.001    0.000    0.004    0.000 blocks.py:127(__init__)
      156    0.001    0.000    0.004    0.000 cloudpickle.py:171(_lookup_module_and_qualname)
      200    0.001    0.000    0.001    0.000 numerictypes.py:578(_can_coerce_all)
      300    0.001    0.000    0.004    0.000 cast.py:1257(maybe_castable)
      600    0.001    0.000    0.008    0.000 cast.py:1273(maybe_infer_to_datetimelike)
     1550    0.001    0.000    0.006    0.000 common.py:499(is_interval_dtype)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       31    0.001    0.000    0.001    0.000 util.py:186(__init__)
     1550    0.001    0.000    0.006    0.000 common.py:463(is_period_dtype)
     1700    0.001    0.000    0.002    0.000 {built-in method builtins.all}
       13    0.001    0.000    0.007    0.001 context.py:217(BoundedSemaphore)
      300    0.001    0.000    0.012    0.000 construction.py:554(_try_cast)
     1350    0.001    0.000    0.001    0.000 common.py:1769(pandas_dtype)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       52    0.001    0.000    0.001    0.000 {built-in method builtins.print}
2250/2150    0.001    0.000    0.005    0.000 _asarray.py:16(asarray)
       24    0.001    0.000    0.002    0.000 cloudpickle_fast.py:428(__init__)
      900    0.001    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
     1100    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(repeat)
       13    0.001    0.000    0.005    0.000 os.py:707(copy)
     1200    0.001    0.000    0.012    0.000 <__array_function__ internals>:2(tile)
      500    0.001    0.000    0.002    0.000 common.py:231(is_sparse)
       50    0.001    0.000    0.004    0.000 parallel.py:625(__init__)
      500    0.001    0.000    0.002    0.000 _base.py:392(add_done_callback)
       50    0.001    0.000   17.806    0.356 agent.py:774(compete)
      400    0.001    0.000    0.002    0.000 managers.py:206(shape)
      150    0.001    0.000    0.001    0.000 generic.py:188(__init__)
      500    0.001    0.000    0.004    0.000 connection.py:390(_send_bytes)
       13    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      210    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
