         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2916    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     1895    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      991    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      991    0.000    0.000    0.000    0.000 os.py:758(decode)
      904    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      872    0.000    0.000    0.001    0.000 _collections_abc.py:824(__iter__)
      826    0.000    0.000    0.000    0.000 generic.py:30(_check)
  789/703    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      575    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      523    0.001    0.000    0.001    0.000 os.py:674(__getitem__)
      523    0.000    0.000    0.000    0.000 os.py:754(encode)
      504    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      352    0.000    0.000    0.000    0.000 __init__.py:935(__getitem__)
      264    0.000    0.000    0.002    0.000 cloudpickle_fast.py:607(reducer_override)
  235/231    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      218    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      193    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      180    0.000    0.000    0.000    0.000 base.py:254(is_dtype)
      167    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
  164/144    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      158    0.000    0.000    0.000    0.000 common.py:1610(_is_dtype_type)
      142    1.223    0.009    1.223    0.009 {method 'acquire' of '_thread.lock' objects}
      134    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      122    0.000    0.000    0.000    0.000 base.py:411(find)
      122    0.000    0.000    0.000    0.000 common.py:1470(is_extension_array_dtype)
      120    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      120    0.000    0.000    0.000    0.000 random.py:238(_randbelow_with_getrandbits)
      120    0.000    0.000    0.000    0.000 random.py:344(choice)
      120    0.000    0.000    0.000    0.000 shape_base.py:1243(<genexpr>)
      117    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      112    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      112    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
      104    0.000    0.000    0.000    0.000 pickle.py:322(_getattribute)
      104    0.000    0.000    0.000    0.000 cloudpickle.py:126(_whichmodule)
      104    0.000    0.000    0.002    0.000 cloudpickle.py:169(_is_importable)
      104    0.001    0.000    0.002    0.000 cloudpickle.py:189(_lookup_module_and_qualname)
   102/98    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
      100    0.000    0.000    0.000    0.000 common.py:187(<lambda>)
      100    0.000    0.000    0.000    0.000 common.py:185(classes)
       97    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       97    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       97    0.000    0.000    0.000    0.000 {built-in method posix.set_inheritable}
       97    0.000    0.000    0.000    0.000 _posix_reduction.py:28(_mk_inheritable)
       92    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       88    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       85    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       80    0.000    0.000    0.001    0.000 cloudpickle_fast.py:389(_class_reduce)
       72    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       72    0.000    0.000    0.000    0.000 shape_base.py:1253(<genexpr>)
       72    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
       70    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       68    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       68    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
