         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    1.223    0.009    1.223    0.009 {method 'acquire' of '_thread.lock' objects}
        9    0.015    0.002    0.015    0.002 {built-in method posix.fork}
        1    0.006    0.006    0.006    0.006 {built-in method _imp.create_dynamic}
        5    0.005    0.001    0.005    0.001 {method 'read' of '_io.BufferedReader' objects}
        8    0.004    0.001    0.047    0.006 popen_loky_posix.py:122(_launch)
       32    0.003    0.000    0.003    0.000 {built-in method posix.stat}
       66    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
       43    0.003    0.000    0.003    0.000 socket.py:438(send)
      104    0.001    0.000    0.002    0.000 cloudpickle.py:189(_lookup_module_and_qualname)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       14    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        9    0.001    0.000    0.001    0.000 {built-in method io.open}
       16    0.001    0.000    0.005    0.000 {function CloudPickler.dump at 0x12878d040}
        8    0.001    0.000    0.003    0.000 resource_tracker.py:70(ensure_running)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       16    0.001    0.000    0.001    0.000 cloudpickle_fast.py:595(__init__)
        8    0.001    0.000    0.056    0.007 popen_loky_posix.py:47(__init__)
        9    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        8    0.001    0.000    0.014    0.002 spawn.py:53(get_preparation_data)
      523    0.001    0.000    0.001    0.000 os.py:674(__getitem__)
     2916    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       22    0.000    0.000    0.000    0.000 util.py:186(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       14    0.000    0.000    0.002    0.000 synchronize.py:63(__init__)
      264    0.000    0.000    0.002    0.000 cloudpickle_fast.py:607(reducer_override)
     31/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1895    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.063    0.063 process_executor.py:1072(_adjust_process_count)
       16    0.000    0.000    0.005    0.000 reduction.py:194(__init__)
       16    0.000    0.000    0.008    0.001 iostream.py:335(flush)
       85    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        9    0.000    0.000    0.002    0.000 os.py:711(copy)
       16    0.000    0.000    0.010    0.001 reduction.py:261(dump)
        8    0.000    0.000    0.061    0.008 process.py:110(start)
       23    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       62    0.000    0.000    0.000    0.000 {built-in method posix.write}
        9    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       31    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       43    0.000    0.000    0.003    0.000 iostream.py:195(schedule)
       12    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
      872    0.000    0.000    0.001    0.000 _collections_abc.py:824(__iter__)
       36    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       32    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       54    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.003    0.001 frame.py:502(__init__)
        9    0.000    0.000    0.002    0.000 context.py:319(BoundedSemaphore)
        2    0.000    0.000    1.292    0.646 parallel.py:958(__call__)
    20/10    0.000    0.000    0.001    0.000 base.py:250(__new__)
        8    0.000    0.000    0.001    0.000 os.py:1019(fdopen)
       17    0.000    0.000    0.008    0.000 threading.py:556(wait)
      352    0.000    0.000    0.000    0.000 __init__.py:935(__getitem__)
        8    0.000    0.000    0.000    0.000 process.py:80(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
      504    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.000    0.000 threading.py:777(__init__)
  235/231    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       32    0.000    0.000    0.001    0.000 _posix_reduction.py:66(reduce_connection)
       34    0.000    0.000    0.003    0.000 resource_tracker.py:94(ensure_running)
       15    0.000    0.000    0.000    0.000 tempfile.py:134(rng)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
